Designator	Device	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Pins	Layer	Rotation	SMD	Comment
"C74"	"100nF"	"C0402_NEW"	"105.663mm"	"95.6mm"	"105.663mm"	"95.6mm"	"105.663mm"	"95.055mm"	"2"	"T"	"90"	"Yes"	"100nF"	
"C75"	"100nF"	"C0402_NEW"	"112.75mm"	"105.687mm"	"112.75mm"	"105.687mm"	"113.295mm"	"105.687mm"	"2"	"T"	"180"	"Yes"	"100nF"	
"C76"	"100nF"	"C0402_NEW"	"112.75mm"	"107.087mm"	"112.75mm"	"107.087mm"	"113.295mm"	"107.087mm"	"2"	"T"	"180"	"Yes"	"100nF"	
"C77"	"100nF"	"C0402_NEW"	"111.664mm"	"90.333mm"	"111.663mm"	"90.333mm"	"111.664mm"	"89.788mm"	"2"	"T"	"90"	"Yes"	"100nF"	
"R1"	"1kΩ"	"R0402"	"83.9mm"	"108.3mm"	"83.9mm"	"108.3mm"	"83.467mm"	"108.3mm"	"2"	"T"	"0"	"Yes"	"1kΩ"	
"R29"	"10kΩ"	"R0402"	"83.9mm"	"109.7mm"	"83.9mm"	"109.7mm"	"84.333mm"	"109.7mm"	"2"	"T"	"180"	"Yes"	"10kΩ"	
"R28"	"22Ω"	"R0402"	"106.3mm"	"108.8mm"	"106.3mm"	"108.8mm"	"106.3mm"	"108.367mm"	"2"	"T"	"90"	"Yes"	"22Ω"	
"R27"	"22Ω"	"R0402"	"107.4mm"	"108.8mm"	"107.4mm"	"108.8mm"	"107.4mm"	"108.367mm"	"2"	"T"	"90"	"Yes"	"22Ω"	
"R26"	"1kΩ"	"R0402"	"104mm"	"95.224mm"	"104mm"	"95.224mm"	"104mm"	"94.791mm"	"2"	"T"	"90"	"Yes"	"1kΩ"	
"R24"	"1kΩ"	"R0402"	"112.857mm"	"91.4mm"	"112.857mm"	"91.4mm"	"112.857mm"	"90.967mm"	"2"	"T"	"90"	"Yes"	"1kΩ"	
"R23"	"10kΩ"	"R0402"	"114.1mm"	"91.4mm"	"114.1mm"	"91.4mm"	"114.1mm"	"90.967mm"	"2"	"T"	"90"	"Yes"	"10kΩ"	
"U61"	"RP2040"	"LQFN-56_L7.0-W7.0-P0.4-EP"	"105.3mm"	"102.4mm"	"105.3mm"	"102.4mm"	"101.75mm"	"105mm"	"57"	"T"	"0"	"Yes"	"RP2040"	
"U6"	"W25Q128JVSIQTR"	"SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL"	"91.1mm"	"107.8mm"	"91.1mm"	"107.8mm"	"87.57mm"	"109.705mm"	"8"	"T"	"270"	"Yes"	"W25Q128JVSIQTR"	
"X2"	"12MHz"	"OSC-SMD_4P-L3.2-W2.5-BL"	"103.25mm"	"90.987mm"	"103.25mm"	"90.987mm"	"102.15mm"	"90.112mm"	"4"	"T"	"0"	"Yes"	"12MHz"	
"R3"	"R0603"	"R0603"	"83.5mm"	"106.2mm"	"83.5mm"	"106.2mm"	"82.747mm"	"106.2mm"	"2"	"T"	"0"	"Yes"	"R0603"	
"R2"	"R0603"	"R0603"	"83.5mm"	"104.6mm"	"83.5mm"	"104.6mm"	"82.747mm"	"104.6mm"	"2"	"T"	"0"	"Yes"	"R0603"	
"U93"	"LED-SMD_4P-L2.0-W2.0-BR"	"LED-SMD_4P-L2.0-W2.0-BR"	"160.79mm"	"41.2mm"	"160.79mm"	"41.2mm"	"161.44mm"	"40.55mm"	"4"	"T"	"0"	"Yes"	"LED-SMD_4P-L2.0-W2.0-BR"	
"C93"	"C0402_NEW"	"C0402_NEW"	"160.865mm"	"38.75mm"	"160.865mm"	"38.75mm"	"160.32mm"	"38.75mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"U92"	"LED-SMD_4P-L2.0-W2.0-BR"	"LED-SMD_4P-L2.0-W2.0-BR"	"141.79mm"	"41.2mm"	"141.79mm"	"41.2mm"	"142.44mm"	"40.55mm"	"4"	"T"	"0"	"Yes"	"LED-SMD_4P-L2.0-W2.0-BR"	
"SW24"	"CONN-SMD_HOTPLUGPAKAGE__C9900010116"	"CONN-SMD_HOTPLUGPAKAGE__C9900010116"	"153.79mm"	"46.05mm"	"153.79mm"	"46.05mm"	"159.565mm"	"44.95mm"	"2"	"B"	"180"	"Yes"	"CONN-SMD_HOTPLUGPAKAGE__C9900010116"	
"C92"	"C0402_NEW"	"C0402_NEW"	"141.965mm"	"38.75mm"	"141.965mm"	"38.75mm"	"141.42mm"	"38.75mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"SW12"	"CONN-SMD_HOTPLUGPAKAGE__C9900010116"	"CONN-SMD_HOTPLUGPAKAGE__C9900010116"	"21.04mm"	"76.796mm"	"21.04mm"	"76.796mm"	"26.815mm"	"75.696mm"	"2"	"B"	"180"	"Yes"	"CONN-SMD_HOTPLUGPAKAGE__C9900010116"	
"C90"	"C0402_NEW"	"C0402_NEW"	"9.214mm"	"69.495mm"	"9.214mm"	"69.496mm"	"8.669mm"	"69.495mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"U90"	"LED-SMD_4P-L2.0-W2.0-BR"	"LED-SMD_4P-L2.0-W2.0-BR"	"9.039mm"	"71.945mm"	"9.039mm"	"71.946mm"	"9.689mm"	"71.295mm"	"4"	"T"	"0"	"Yes"	"LED-SMD_4P-L2.0-W2.0-BR"	
"C91"	"C0402_NEW"	"C0402_NEW"	"28.114mm"	"69.495mm"	"28.114mm"	"69.496mm"	"27.569mm"	"69.495mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"U91"	"LED-SMD_4P-L2.0-W2.0-BR"	"LED-SMD_4P-L2.0-W2.0-BR"	"28.039mm"	"71.945mm"	"28.039mm"	"71.946mm"	"28.689mm"	"71.295mm"	"4"	"T"	"0"	"Yes"	"LED-SMD_4P-L2.0-W2.0-BR"	
