Designator	Device	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Pins	Layer	Rotation	SMD	Comment
"SW3"	"SW-TH_4P-L6.0-W6.0-P4.50-LS6.5"	"SW-TH_4P-L6.0-W6.0-P4.50-LS6.5"	"41mm"	"119mm"	"41mm"	"119mm"	"38.75mm"	"115.75mm"	"4"	"T"	"90"	"No"	"SW-TH_4P-L6.0-W6.0-P4.50-LS6.5"	
"SW4"	"SW-TH_4P-L6.0-W6.0-P4.50-LS6.5"	"SW-TH_4P-L6.0-W6.0-P4.50-LS6.5"	"51mm"	"119mm"	"51mm"	"119mm"	"48.75mm"	"115.75mm"	"4"	"T"	"90"	"No"	"SW-TH_4P-L6.0-W6.0-P4.50-LS6.5"	
"SW5"	"SW-TH_4P-L6.0-W6.0-P4.50-LS6.5"	"SW-TH_4P-L6.0-W6.0-P4.50-LS6.5"	"61mm"	"119mm"	"61mm"	"119mm"	"58.75mm"	"115.75mm"	"4"	"T"	"90"	"No"	"SW-TH_4P-L6.0-W6.0-P4.50-LS6.5"	
"SW6"	"SW-TH_4P-L6.0-W6.0-P4.50-LS6.5"	"SW-TH_4P-L6.0-W6.0-P4.50-LS6.5"	"71mm"	"119mm"	"71mm"	"119mm"	"68.75mm"	"115.75mm"	"4"	"T"	"90"	"No"	"SW-TH_4P-L6.0-W6.0-P4.50-LS6.5"	
"SW8"	"KEY-SMD_4P-L3.5-W3.0-P1.50-LS4.6"	"KEY-SMD_4P-L3.5-W3.0-P1.50-LS4.6"	"90.7mm"	"95.4mm"	"90.7mm"	"95.4mm"	"89.95mm"	"97.325mm"	"4"	"T"	"270"	"Yes"	"KEY-SMD_4P-L3.5-W3.0-P1.50-LS4.6"	
"SW7"	"KEY-SMD_4P-L3.5-W3.0-P1.50-LS4.6"	"KEY-SMD_4P-L3.5-W3.0-P1.50-LS4.6"	"87.35mm"	"95.4mm"	"87.35mm"	"95.4mm"	"86.6mm"	"97.325mm"	"4"	"T"	"270"	"Yes"	"KEY-SMD_4P-L3.5-W3.0-P1.50-LS4.6"	
"U87"	"SN74LV1T34DBVR"	"SOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR"	"95.5mm"	"98.5mm"	"95.5mm"	"98.5mm"	"96.6mm"	"97.55mm"	"5"	"T"	"0"	"Yes"	"SN74LV1T34DBVR"	
"R33"	"10kΩ"	"R0402"	"92.6mm"	"99.5mm"	"92.6mm"	"99.5mm"	"92.167mm"	"99.5mm"	"2"	"T"	"0"	"Yes"	"10kΩ"	
"C81"	"100nF"	"C0402"	"95mm"	"96.2mm"	"95mm"	"96.2mm"	"95.545mm"	"96.2mm"	"2"	"T"	"180"	"Yes"	"100nF"	
"U86"	"LED-SMD_4P-L2.0-W2.0-BR"	"LED-SMD_4P-L2.0-W2.0-BR"	"211.899mm"	"118.25mm"	"211.899mm"	"118.25mm"	"212.549mm"	"117.6mm"	"4"	"T"	"0"	"Yes"	"LED-SMD_4P-L2.0-W2.0-BR"	
"C80"	"C0402_NEW"	"C0402_NEW"	"211.999mm"	"116.25mm"	"211.999mm"	"116.25mm"	"211.454mm"	"116.25mm"	"2"	"T"	"0"	"Yes"	"C0402_NEW"	
"NONE1"	"_"	"footprint_ceef"	"97.45mm"	"117.788mm"	"98mm"	"119mm"	"79.5mm"	"113.968mm"	"6"	"T"	"0"	"No"	"_"	
"C18"	"100nF"	"C0402"	"119.5mm"	"108.2mm"	"119.5mm"	"108.2mm"	"118.955mm"	"108.2mm"	"2"	"T"	"0"	"Yes"	"100nF"	
"U85"	"AMS1117-3.3"	"SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR"	"129.2mm"	"107.1mm"	"129.2mm"	"107.1mm"	"131.5mm"	"110.07mm"	"4"	"T"	"90"	"Yes"	"AMS1117-3.3"	
"R30"	"0Ω"	"R0603"	"124.826mm"	"112.53mm"	"124.826mm"	"112.53mm"	"124.826mm"	"111.777mm"	"2"	"T"	"90"	"Yes"	"0Ω"	
